longitude,latitude,altitude
-33.601312,18.997078,43017.5
-33.599121,19.004554,43030.16
-33.597029,19.011841,43042.75
-33.5954,19.017277,43051.79
-33.593678,19.022999,43061.8
-33.5927,19.026718,43068.13
-33.590881,19.033141,43078.65
-33.588593,19.041156,43091.65
-33.586229,19.05035,43105.77
-33.585717,19.052696,43109.4
-33.585342,19.05545,43113.44
-33.584702,19.060607,43121.43
-33.583511,19.068006,43132.56
-33.582226,19.074841,43143.04
-33.581295,19.079075,43149.86
-33.579987,19.084205,43157.56
-33.577617,19.092236,43170.52
-33.576453,19.096184,43176.68
-33.574722,19.101133,43184.67
-33.573427,19.104652,43190.82
-33.570495,19.11232,43203.67
-33.566351,19.122391,43220.97
-33.56421,19.127655,43230.07
-33.561722,19.133139,43239.1
-33.558158,19.14093,43252.64
-33.554718,19.148497,43265.48
-33.551422,19.155672,43278.09
-33.547394,19.164472,43293.06
-33.545077,19.169884,43302.26
-33.542191,19.176922,43313.71
-33.54126,19.179668,43318.06
-33.540482,19.182521,43322.74
-33.539978,19.185044,43326.69
-33.539584,19.187902,43331.04
-33.539383,19.190369,43335.04
-33.539258,19.193956,43340.65
-33.539305,19.196422,43344.6
-33.539566,19.198773,43348.3
-33.539886,19.200421,43350.75
-33.540422,19.202271,43353.83
-33.541031,19.203933,43356.91
-33.541946,19.206007,43360.67
-33.542703,19.207478,43363.14
-33.511688,19.202179,48900.33
-33.509491,19.200421,48905.27
-33.506159,19.197375,48913.38
-33.504158,19.195301,48918.2
-33.501572,19.192621,48925.29
-33.500153,19.190863,48929.46
-33.498851,19.189023,48933.39
-33.498385,19.188295,48935.18
-33.462819,19.117388,49065.51
-33.458221,19.104895,49085.2
-33.456573,19.099567,49093.53
-33.456024,19.09715,49096.96
-33.455704,19.095227,49099.96
-33.455464,19.093173,49102.69
-33.455417,19.090763,49106.2
-33.455417,19.086503,49112.06
-33.455429,19.08446,49115.35
-33.455566,19.081219,49119.86
-33.456069,19.073835,49130.25
-33.456116,19.073275,49131.24
-33.456573,19.068036,49138.93
-33.457306,19.061005,49149.16
-33.533439,18.933928,49426.74
-33.536911,18.930707,49435.67
-33.543549,18.924567,49453.11
-33.549872,18.918915,49469.03
-33.557144,18.912291,49487.32
-33.562958,18.907359,49502.12
-33.5684,18.902721,49515.94
-33.572962,18.899117,49526.66
-33.579803,18.893962,49543.11
-33.587859,18.887501,49562.67
-33.593719,18.882695,49576.83
-33.599822,18.877487,49591.61
-33.605129,18.87331,49604.3
-33.608505,18.870644,49612.27
-33.610995,18.868389,49618.34
-33.613881,18.865528,49625.97
-33.618769,18.860607,49638.29
-33.622912,18.856544,49648.86
-33.625214,18.853996,49655.17
-33.626862,18.851922,49659.96
-33.628126,18.849964,49663.92
-33.629242,18.848055,49667.81
